time,Constrained Defence Spending,Cumulative Defence Spending,rate of orders fulfilled,rate of expenses,Cumulative Earnings,stress_to_willingness,delay,shock,shock_pct
11.0,37.28166853125,435.98749999999984,3.9142368870088715,5.301149536072394,3.44850490479936,1.0,1,0.2,20%
11.25,37.158846725000004,447.0699999999998,3.937956857845943,3.5396335061640403,3.2057951912132436,1.0,1,0.2,20%
11.5,37.03602491875,458.1524999999998,3.960371860387317,3.5563050204016498,3.275501777757577,1.0,1,0.2,20%
11.75,36.9132031125,469.2349999999998,3.9816919793967767,5.628991200121297,3.3462134747550687,1.0,1,0.2,20%
12.0,36.790381306250005,480.31749999999977,4.0020783752660245,3.5867306752457906,3.0579361111282775,1.0,1,0.2,20%
12.25,36.806107125000004,491.39999999999975,4.021654936061572,3.6053902743098836,3.1306219586318185,1.0,1,0.2,20%
12.5,36.820437197656254,502.52437499999974,4.0532915680097235,3.6348758527199854,3.203468274438364,1.0,1,0.2,20%
12.75,36.83336626367188,513.6906249999997,4.094028871272696,3.67254271380867,3.276691024614068,1.0,1,0.2,20%
13.0,36.84488906250001,524.8987499999997,4.141610437487906,6.167540723249461,3.3504511021702728,1.0,1,0.2,20%
13.25,36.7183265625,536.1487499999997,4.194313976331994,3.7648285459529034,2.9959133021620006,1.0,1,0.2,20%
